"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"1207","Old Fire Station 21","1152 OAK ST","San Francisco","94117","1215010","Own","38","Fire Department","5,600","-122.43836622399999","37.77330114000006","5",,"325","POINT (-122.438366224 37.77330114)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"720","Fire Station #39","1091 PORTOLA DR","San Francisco","94127","2982029","Own","38","Fire Department","8,450","-122.45863496599998","37.740039839000076","7",,"342","POINT (-122.458634966 37.740039839)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"696","Fire Station #14","551 26TH AVE","San Francisco","94121","1518009","Own","38","Fire Department","15,900","-122.48606162099998","37.77899264900003","1",,"323","POINT (-122.486061621 37.778992649)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"728","Fire Station #48","800 AVENUE I","San Francisco","94130",,"Own","38","Fire Department","18,000","-122.36921098199997","37.82666830100004","6",,,"POINT (-122.369210982 37.826668301)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"689","Fire Division of Training - Folsom St","2310 FOLSOM ST","San Francisco","94110","3594059","Own","38","Fire Department",,"-122.41501087499995","37.76001239100003","9",,"314","POINT (-122.415010875 37.760012391)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"708","Fire Station #25","3305 3RD ST","San Francisco","94124","4502A002","Own","38","Fire Department","11,420","-122.38685250599997","37.74663929800005","10",,"781","POINT (-122.386852506 37.746639298)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"732","Fire Station #7/DOT-2 Bngl/Class/Office","2300 FOLSOM ST","San Francisco","94110","3594059","Own","38","Fire Department","8,712","-122.41534850699998","37.759832069000026","9",,"314","POINT (-122.415348507 37.759832069)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"713","Fire Station #31","441 12TH AVE","San Francisco","94118","1532007","Own","38","Fire Department","8,500","-122.47091141499999","37.77984010500006","1",,"320","POINT (-122.470911415 37.779840105)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"704","Fire Station #21","1443 GROVE ST","San Francisco","94117","1200016","Own","38","Fire Department","8,000","-122.44027176799995","37.775409721000074","5",,"326","POINT (-122.440271768 37.775409721)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"709","Fire Station #26","80 DIGBY ST","San Francisco","94131","7540013","Own","38","Fire Department","15,000","-122.43339969399995","37.740283058000045","8",,"305","POINT (-122.433399694 37.740283058)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"3269","Palo Alto/Marview Comm Facility","PALO ALTO AVE & MARVIEW WAY","San Francisco","94114","2719C023","Own","38","Fire Department",,"-122.44977236299997","37.756661638000026","7",,"52","POINT (-122.449772363 37.756661638)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
